Event Name,Event Description,Date and Time,Venue,Organization,Category,Number,Author,Keywords
Agricultural Conference,"Agricultural Conference , AC offers attendees two days of dynamic speakers and industry-leading agricultural experts to provide leading information to meet todays agricultural challenges along with a trade show. Our featured speakers were excellent providing an inspirational message for all, and the Taste of Ooty gave everyone a chance to meet and mingle at the end of the day.",06 - 07 Jan 2021,ooty,University Of Guelph,Information & technology,,VIshvesh,
"Data Management, Graphics and Statistical analysis using SPSS Online Training","In this online course we take you through practical sessions of data analysis in SPSS from the basics. We adopt a non-mathematical approach by taking a real life business, research, government and academic organizational perspective. We will dwell in the importation of data from excel, creation of descriptive charts, modifying and selecting cases, calculating descriptive and inferential statistics. We will also tackle modeling of associations with correlations, contingency tables and multiple regressions. We will also learn how to format our output and export tables and charts.",28 Dec 2020 - 08 Jan 2021 ,online,IBM,Information & technology,,VIshvesh,
Paperworld India,"The largest global trade fair brand in its category Paperworld now forays in India to bring the industry stake holders on a common platform to develop business opportunities, connect with right buyers and showcase trend-setting innovative products that will rule the Indian stationery & write industry markets.",11 - 13 Mar 2021 ,Mumbai,Messe Frankfurt Trade Fairs India Pvt. Ltd.,Information & technology,,VIshvesh,
Study Hospitality Online ,"Study Hospitality Online webinar will cover A brief introduction about University Online Learning, Find out more about the academic team, The benefits of a degree accredited by the Institute of Hospitality, The core modules that will underpin your study and the structure of the course, The career progression you can expect from this degree.",11 - 13 Mar 2021 ,Online,IBM,Information & technology,,VIshvesh,
PowerApps Training,"PowerApps Training will teach you all the basics and help you in creating a wide range of apps without the use of code. In the period of the course, you will acquire knowledge on connecting to services similar to Excel, Dynamics 365, Microsoft Sharepoint, to automatically build apps or utilize common data service to capture new data.",28 Dec 2020 - 13 Jan 2021,Online,IBM,Information & technology,,VIshvesh,
AWS Training Online,"Amazon stands tall in every industry it competes. The same is with the cloud platform and services sector. Amazon Web Services is truly a flexible cloud computing service provider and is leading the market with a 23% share within a decade. All the industries are focused on delivering services through the cloud; there will be a high demand for cloud service professionals. Be ready by then. MindMajix, being the best online learning platform, is offering a 30% discount on AWS. Grab the deal.",02 - 31 Jan 2021,Online,AWS,Information & technology,,VIshvesh,
Begin Undergrad Fair ,"At this International Education Fair, you can find out how to achieve this goal Studying abroad is a unique experience that will offer you new and exciting perspectives. Universities, colleges, language schools, and private schools from all over the world will present their study programmes and help you plan your future.",14 Mar 2021,Online,Begin Group,Information & technology,,VIshvesh,
Workshop on Disaster Risk Management in Smart City Planning,"This workshop will consider new insights through three recent experiences related to earthquakes and tsunamis that took place in Mexico, Chile and Japan between The case study analysis goes from the theoretical and empirical perspective to practical implementation of solutions. In recent years, there have been two key areas of concern within Urban Planning in general, on the one hand; Threats, Risks, Vulnerabilities and Disasters caused by climate change and natural hazards have made conventional premises about land use and infrastructure management “out-of-date”, on the other hand Smart Planning has emerged as an alternative that seeks to integrate a huge amount of data in order to get key knowledge for decision making in a rapid and responsive manner.",01 - 03 Jan 2021,Online,Wessex Institute,Information & technology,,VIshvesh,
International Conference on Image and Graphics Processing,▪ Image Segmentation ▪ Wavelet Transforms ▪ Image Coding and Compression ▪ Image Acquisition ▪ IIR Filters ▪ Higher Order Statistical Analysis ▪ FIR Filters ▪ Filter Design and Structures ▪ Discrete Hilbert Transforms ▪ Fast Fourier Transforms ▪ Document Analysis. ▪ Image Processing ▪ Watermarking ▪ Visualization ▪ Video Signal Processing ▪ Time-Frequency Signal Analysis ▪ Super-resolution Imaging ▪ Statistical Signal Processing ▪ Real Time Signal Processing ▪ Signal Reconstruction ▪ Signal Noise Control ▪ Sonar Image Processing. ,01 - 03 Jan 2021 ,Online,Hainan University,Information & technology,,VIshvesh,
Short Course on Critical Infrastructure (Crit-Is) Energy Supply,"The aim of this course is to introduce energy systems into the infrastructure. Water and food supply, transportation, governments, administrations, health, internet, communication channels, manufacturing of goods, the banking and other sectors essentially depend on energy. Without energy, all these infrastructures cannot be operated. Hence, the energy sector is todayâ€™s most critical infrastructure (Crit-Is). A failure in parts of the energy sector results in negative impact on other infrastructure systems - and may result in situations of disaster.",01 - 03 Jan 2021 ,Online,Wessex Institute,Information & technology,,VIshvesh,
International Forum on Signal Processing,"IFSP 2021 welcomes paper submissions from any branch of the Signal Processing, and their applications or other related topic areas. The areas covered by the include, but not limited to: information processing and the theory and application of filtering, coding, transmitting, estimating, detecting, analyzing, recognizing, synthesizing, recording, and reproducing signals.",01 - 03 Jan 2021,Online,International Association of Computer Science & Information Technology,Information & technology,,VIshvesh,
Awesome Games Done Quick 2021 (Online),"Out of an abundance of caution for the safety of the community, Games Done Quick has made the difficult decision to move AGDQ 2021 to an entirely online format and will not feature a live venue. Similar to SGDQ 2020, we will broadcast the event from our studio, with runners participating from the safety of their homes. The broadcast dates will remain the same, with AGDQ 2021 showcasing some of the best speedrunners in the world from January 3rd — 10th, 2021.

Game Submissions and Volunteer Applications (for Hosts, Donation Processors and Stream Checkers) are now closed, thank you for your interest!", January 3-January 10 2021,Online,E4G,Gaming,,Samiksha,
OrcaCon 2021,"OrcaCon 2021 is an inclusive tabletop games convention that happens in Bellevue, WA. Join us for a weekend of your favorite board games, card games, role playing games, miniatures games, and more!",January 8 - January 10,Online,OraCon,Gaming,,Samiksha,
GameOn 2021,"Delve into Vancouver’s ultimate gamer experience for aspiring developers, students, and gaming enthusiasts. Brought to you by UBC Game Development, a local community where all things gaming and game development thrive. GameOn 2021 is the continuation of GameTech 2020, which you may have been a part of last year.",January 16,Online,E4G,Gaming,,Samiksha,
Taipei Game Show 2021,"Taipei Game Show, held by Taipei Computer Association (TCA), is the only game exhibition, which combines B2B and B2C zone. From 2003, it attracts tons of gamers from all over the world because of the special and amazing content. B2C ZONE can be described as an amusement park. With extraordinary stage event, and the most popular online game, mobile game, console game, VR and periphery of eSport, all the gamers are making a beeline for this “carnival style” game show every year. Especially “Indie House” and “Board Game Wonderland” trigger each gamer’s original intention and enthusiasm to game from their deepest mind.","
January 28 - January 31","Nangang Exhibition Center
No. 1, Jingmao 2nd Road
Taipei City, Nangang 115 Taiwan",Taipei Computer Association (TCA),Gaming,,Samiksha,
Geneva Annual Blockchain Congress,"The Geneva Annual Blockchain Congress is a major congress that brings together existing customers and future providers. They will address issues related to the blockchain universe, such as legality, governance and ethics.","January 20, 2021","Geneva, Switzerland",Wipro,Information & technology,,Samiksha,
Blockchain 3.0 Bangalore,The conference will bring together the top innovators and industry experts leading adoption of blockchain technology in BFSI sector. Learn from early adopters of the technology and network with them to discuss all the latest developments taking place.,"February 28, 2020","Bangalore, India",L&T,Information & technology,,Samiksha,
Miniature Origami for Beginners - An Online Workshop,"Artkhoj presents the “Miniature Origami Workshop” which explores the Japanese art form of paper folding. The workshop is meant for both beginners and intermediate participants, creating motivation & breaking the inhibition of paper folding. What will be covered in the workshop:
In this interactive and engaging workshop, the participants will learn

Basics of Origami.
Knowledge of miniature folding - Its possibilities, challenges, and limitations
Tricks and tips of usage of various tools in miniature folding.
3-4 miniature origami animals and birds. The number of models learnt will be based on the speed of understanding. The main focus will be on the process so that participants can do it on their own post the workshop",June 7,Virtual,Artkhoj,Arts and Craft,,Samiksha,
Introduction to Web development,"Anybody and everybody is welcome. If you know nothing about code or markup and want to get started in web development then this will be good for you. This will also serve as a useful primer for those who know HTML and CSS and want to jump into JavaScript / programming-in-general, or even just as a primer for node.js. This course will not discuss databases in the interest of keeping the focus on coding. We're keeping this workshop safe for entry-level developers, so if you're already familiar with most or all of the topics then this workshop is not for you. Just come with an open mind and a desire to learn. No coding or markup background required at all","July 24 to 25, 2021",Virtual,Microsoft,Information & technology,,Samiksha,
Canvas Conference 2021,"Canvas Conference 2021, is a four-day digital product and experience conference, sharing actionable insights from makers, to makers.

You can expect to see a collaborative schedule that touches on all things digital and product. There’s no high-level overviews or brand evangelists, just real people, in the work, sharing their experiences and learnings. Their speakers are at the cutting edge of their particular discipline or industry, and will share their insights of building exceptional digital products and experiences. Canvas Conference 2021 will take place on 15-18 March 2021, omline. You can expect to see a collaborative schedule that touches on all things digital and product. There’s no high-level overviews or brand evangelists, just real people, in the work, sharing their experiences and learnings.","June 19 to 23, 2021",Virtual,BT,Information & technology,,Samiksha,
UXLX Masters 2021,"UXLx Masters 2021 is an exclusive 3-day online event where masters of UX will share a lifetime of knowledge and experience.

Choose from 12 interactive masterclasses from the greatest experts in the industry that will help you hone your skills and learn best practices. Mingle with peers and thought leaders in fun online side-events and networking activities. See what others are doing, share ideas and make connections with others in the field.","May 19, 2021",Virtual,xperienz,Information & technology,,Samiksha,
 Kala Ghoda Arts Festival,"Started in 1999 by Kala Ghoda Association as a way to promote and preserve the heritage of South Mumbai, the KGA festival has now assumed a life of its own. Today it has become a complete exhibit of Indian art forms including theatre and concerts, street art, awe-inspiring installations, causes to support, local flavours, Mumbai heritage walks through the wealthy Victorian, Gothic and varied styles of historical architecture of South Mumbai, and a shopping extravaganza. Year upon year the festival has grown tremendously in popularity and transitioning from being confined to the Southern Mumbai area of Kala Ghoda to spreading out to neighbouring auditoriums, grounds and theatres to incorporate the surge in participation and footfalls.","February 2 - February 9, 2021","Kala Ghoda, Fort, Mumbai", Kala Ghoda Association,Arts and Craft,,Samiksha,
Ellora-Ajanta International Festival,"This is a place for you to lose track of time and the era you belong to and engross yourself in the captivating history that drips from every aspect of the festival. Aurangabad, named after the Mughal prince is home to stunning architectural marvels including the UNESCO World Heritage Site Ajanta And Ellora caves, dating back to 2nd century BCE, where the festival was previously held. Today the festival, comprising of folk performing arts and music, local food and exhibits, for sale, by local artisans, is held in Soneri Mahal, a palace built in the 1650s, with its grandeur adding an alluring charm to the festivities.","January 20, 2021","Soneri Mahal, Jaisingpura, Aurangabad",EAI,Arts and Craft,,Samiksha,
Surajkund Crafts Mela,"This is of the most significant and most awaited and multi-cultural art festivals of India, witnessing millions of visitors, both, Indian and international, every year. Started in 1987, and continuing with multiplied glory and grandeur till this day, the festival, today, is organised by the Haryana Government in collaboration with Surajkund Mela Authority at a massive scale of 40 acres with over 1000 participating work huts. Every year, one Indian State is chosen to present original exhibits including its local cultural performances, artefacts, handicrafts and cuisine, ensuring the festival has fresh energy and variety each year. Apart from the local artisans, skilled craftsmen and artisans of all SAARC nations are invited to exhibit present their local craft, preserved over centuries.","February 1 - February 15, 2021","Surajkund, Faridabad, Haryana",Surajkund Mela Authority,Arts and Craft,,Samiksha,
Indian Art Fair,"A melting pot of the diverse arts landscape of South East Asia and a sprinkling of the West, the relatively new festival launched in 2008, has galloped its way to fame, with its beautiful arts and culture exhibit, that includes paintings, art installations, theatre and other performing arts, regional films, and interactive programs, among others. The festival sees participation from the leading galleries and artists from Asia, Europe, USA and South America. ","January 31 - February 3, 2021
","NSIC Exhibition Grounds, Okhla Industrial Estate, New Delhi",NSIC Authority,Arts and Craft,,Samiksha,
 Delhi International Arts Festival,"Projected to be the International Festival Of India, DIAF has ambitious plans to make a strong impression on the cultural map of the world and has achieved excellent success in striving towards its goal. It is already a festival to reckon with in the arena of festivals that promote and showcase global cultural fusion. Organized with a unique theme and diplomatic effort every year, the festival, a brainchild of a celebrated classical dancer and organised in collaboration with the Government, sees humongous participation from international artists in an event spanning 15 to 25 days. It is spread over 40 venues spread across the NCR region and is a brilliant showcase of national and international performing arts, martial arts, cuisine and culture.","December 1 - December 10, 2021",Delhi,DIAF,Arts and Craft,,Samiksha,
Bangalore International Arts Festival,"This annual festival goes a step further than others in promoting local artists by, apart from showcasing the talents, also donating a part of the funds raised to Arogyadhara, a welfare fund for artists. You can expect to experience Indian and international classical, folk and contemporary music and dance, Indian and foreign bands? Concerts and theatre, and participate in tree plantation drive to increase the green cover of the city and give back to the society. ","September 20, 2021","Art Complex, Kumar Krupa Road, Bangalore, Karnataka",BIAF,Arts and Craft,,Samiksha,
Cartist Automobile Art Festival And Yatra,"One of its kind festivals, throbbing with energy, innovation and colour, CARTIST brings automobile and arts together to create a spectacular fusion that will leave you wide-eyed! CARTIST, a unification of CAR (a motor) and ARTist, is a Jaipur based organisation that promotes young artists and the concept of exhibiting art in the most visible and moving space - cars. Among others. Indian highways are serenaded by our desi, quirkily and beautifully painted trucks, CARTIST is your chance to see quirky, colourful and innovative strokes of paint and sketches, from geometric shapes to psychedelic patterns and Indian motifs, on cars, autos and more. They also organise CARTIST Yatras which are moving, an exciting exhibit of vehicles, automobiles and two-wheelers covering the length and breadth of the country, stopping at all major metros. ","March 25,2021",Jaipur,CARTIST Pvt Litd,Arts and Craft,,Samiksha,
Taj Mahotsav,"If you wish to see the local handicrafts, handlooms, craftsmanship and woodwork from every single part of India under one roof, then this is the festival to visit. Held at Shilpgram, a tourist village, at the eastern gate of the Taj Mahal, the 10-day long festival provides a breath-taking sneak-peek into the rich cultural heritage of India and ample opportunities to shop, all against the majestic backdrop of the Mughal architecture, Taj Mahal. The festival has a theme or ?message? Every year which is expressed through various aspects, including the set-up, of the festival. You can also witness a vast and gorgeous procession of elephants and camels covered in colourful Indian motifs and designs, accompanied by folk dancers and drumbeats, marking the grand beginning of the Taj Mahotsav.",February 18 - February 27 2021,"Shilpgram, Near Taj Mahal, Agra, UP",Taj Internationals,Arts and Craft,,Samiksha,
Mumbai Street Food Tour with Train Ride,"Get off the usual tourist path and enjoy a selection of tasty Indian street foods with a guide. Ride the rails on Mumbai's commuter line. Hop off at Chowpatty Beach where you dig into a vegetable curry oozing with paneer cheese(Pav Bhaji) and other street snacks like puffed rice bhel puri. Your guide will bundle you into old taxis for a short journey up to the Muslim quarter known for its hearty cuisine. To allow you to digest a little, your guide will take you on a walk through a bustling fresh produce market to learn about Indian ingredients and then a wander up through Chor Bazaar where you'll discover its fascinating history. Tucked away in an impossible-to-find spot, you'll try Chicken Sikh kebabs cooked over charcoal. You'll visit a famed parlour that's been hand-churning their ice-creams in the same way for more than a century and take an exclusive lookout back to see how it’s done before digging into your exotic flavour of choice and at the end drop off at victoria station with sweet memory ",May 11'20 - May 11'25,Mumbai,Amchi Mumbai,"Food And Beverages, Tours and Travel",,Samiksha,
International Kindness Festival,"Learn through inspiring stories, shed light on the various faces of kindness, brainstorm how to break stereotypes, challenge the existing perceptions of kindness, philanthropy and charity.

3 days of creativity, connecting & camaraderie

Thought-provoking & inspiring, speaker sessions

Probing & interactive workshops

Lively & expert panel discussions

Global networking opportunities and real-time chat

Kindness Pillar - a collective of various support organizations

Participate in a mentorship cell

Multiple interactive experiences & themed entertainment and gaming zones

Kindness Gallery an art showcase. 

Performances by artists across various fields

‘Kindness After-Hours' - Wind-down with reputed DJ’s

",Jan 29 - 31,Virtual,The Kindness Foundation ,Health and Wellness,,Samiksha,
Open Mic with Kasa Kai,"Kasa Kai Mumbai is a community of like−minded people who come together and immerse in shared experiences.

Started in 2017 with a vision to enable experiences over hobbies and interests, we have come a long way and have curated more than 4000 experiences for 25000+ patrons and have pioneered activities like match screenings, TV show screenings, open mics, turf football meets and Mahabharat recitals. There's always something new happening at Kasa Kai. Come and experience!

Guidelines For The Open Mic

- Please ensure good internet connection so as to not hamper with your experience.
- Leave all other work and be there for the whole session for a wholesome experience.
- If performing, ensure good lighting around you.
- The virtual sessions will take place on Zoom App.
- If you wish to perform, please do register online so as to not create any disturbances during the virtual event.
- No use of cuss words please.
- No sexist, ethnocentric, Xenophobic comments will be allowed.
- No plagiarism. We love when artists come up with their original work. Beauty lies within you, and we love to appreciate it!
- Please be ready atleast 10-15 mins prior to the time mentioned so that you don't miss the beginning! Hope you have a fun filled time!", Every Sunday | 07:00 pm onwards,Virtual,Kasa Kai Mumbai,Live Events,,Samiksha,
Data Science Training,"Jovi soft solutions is one of the top online IT e-learning platforms that connect the students & corporates with the best trainers in the world. We are the fastest growing e-learning platform with the highest course completion rate. We offer different modes of training which include Instructor-Led training, Corporate Training, and Self paced videos.

A wide range of IT software courses like AWS, Java, Salesforce, Angular 8, Tableau, Splunk, etc.

Jovi Soft Solutions provides Data Science Training. Online Training by real-time experts. Schedule and attend a free demo now!

Key Features:

-Flexible Timings
-Certified & Industry Experts Trainers
-Multiple Training Delivery Models
-Customize Course
-24/7 Support
-Hands On Experience
-Real Time Use Cases
-Q&A with Trainers
-Small Batches (1to5)
-Flexible Payments
-Job Support
-Placement Assistance ", Mar 11'20 - Sep 13'23,Virtual,Azharuddin,Information & technology,,Samiksha,
FLYDANCE National Competition,"FLY Dance Competition will have a professional photographer and videographer present at every event. You are able to preview the photos and videos of each act before purchasing. All media will be available for preview ten (10) minutes after the end of the performance.Solos (Single Performer),Duos/Trios (2-3 Performers),Small Group (4-9 Performers),Large Group (10-19 Performers,)Line(20-24 Performers),Production (25+ Performers). FLY is pleased to offer the following categories:Acro,Ballet
,Contemporary,Jazz,Hip Hop,Lyrical,Musical Theatre,Open,Specialty,Tap
",Jan 29 - 31,Online,FLYDANCE,Dance Competition,,VIshvesh,
Flow 40 Dance Workshops,"Flow 40 Dance Workshops offers students of all ages and skill levels the opportunity to expand their dance education with positive reinforcement and high-energy classes in the comfort of their own dance studio. We travel directly to studios across the nation. While offering all the benefits of a major dance convention, our dynamic faculty strive to cultivate each dancer’s growth through smaller classes while offering cutting edge choreography and technical training.
All workshop packages are set at affordable prices and designed to save families the hassle of out-of-town travel expenses such as food, gas, and hotel costs.
We believe that being exposed to multiple class styles and teachers makes a dancer stronger as a person, and will better prepare them for the professional dance world. And whether or not each student chooses to become a professional, our faculty is trained to build and support positive character growth that they may use both on and off the dance floor.
With a Flow 40 workshop, the studio owner has the power to build their own customized workshop. They design a schedule (to be executed by our faculty) that will best suit their student needs. Our in-studio workshops can be spread over 2-5 days depending on preference and Flow 40 Workshop Package. We travel year round with 25 of the nation’s top working male faculty.
We truly believe that one, eight count can change someone’s life. And that’s why we love what we do!",Jan 29 - 31,Online,Flow 40 Dance Workshops,Dance Competition,,VIshvesh,
Solo Dance Competition Online Powered By AYC,"During this Lockdown period of Global Pandemic get your kids ready and get equipped with Alpha Youth Club Presents Solo dance competition online. Here you can show your dance talent on our platform and feature in our Youtube, Instagram and Facebook Pages.",May 31 | 3PM - July 9 | 2PM,Online,Alpha Youth Club,Dance Competition,,VIshvesh,
2021 Dance Machine ,"At Dance Machine we encourage studio spirit and fellowship among studios, if you come with an attitude of we are “here to win” or “here to beat others” then this is not the competition for your studio/school. We promote an environment of positive energy and growth of the students. Dance Machine philosophy: Competition is not about “beating out others” but improving yourselves, appreciating what you have learned and acknowledging others accomplishments, everything else is icing on the cake!  ",February 18 - February 27 2021,Online,Dance Machine,Dance Competition,,VIshvesh,
Celebrity Dance,"ALL DANCERS ON DECK: Experience a national event unlike any other! Sail on board Nationals at Sea from Long Beach, California. You and your studio will travel in style down the Coast of Baja on a magnificent ship filled with limitless fun, food and entertainment! Celebrate your Celebrity Status with complimentary master classes, private parties, admission into competition and much, much more! Call the Celebrity Offices today to find out more information and to get on board. Nationals at Sea is the definition of an unforgettable experience. See for yourself… Celebrity Nationals at Sea!",Jan - Nov 2021,Online,Celebrity Dance,Dance Competition,,VIshvesh,
Groove Dance Competition,"Groove produces the best dance competitions and dance conventions in the India.We cannot wait for our 2021 season and hope that you and your studio family will be a part of it. This season, we are excited to offer: three levels of competition, FREE master classes at every regional competition, our FREE photo and video package for every registered competitor, single-stage competitions with entry caps, 59 regional competitions, and THREE 2021 National Finals in India.",February 18 - February 27 2021,Online,Groove Limited,Dance Competition,,VIshvesh,
Turn It Up Dance Challenge,"Turn It Up Dance Challenge hosts Regional Dance Competitions that studio directors, dancers, and their families rave about. Turn It Up Dance Challenge is more than just a weekend of dancing and competing. Our team of crew members and judges work hard to guarantee everyone who attends Turn It Up Dance Challenge has a truly memorable, educational, and positive experience.If you had a great time at one of our regional competitions, you'll LOVE our National events! Join us for a week of unforgettable fun every Summer. Take convention classes, meet new friends, “turn it up” at our infamous National’s party, and, of course, compete! Enjoy activities including the National Dance Team, National’s parties, and the much-anticipated Dance Battle!

",Jan 29 - 31,Online,Turn It Up,Dance Competition,,VIshvesh,
"A Live Variety Show ft. Rohan Joshi, Sumaira Shaikh, Sumukhi Suresh, Tanmay Bhat","Watch Rohan Joshi, Sumaira Shaikh, Sumukhi Suresh, Tanmay Bhat live on one stage! Get your tickets now, limited seats available. Please note the following:All social distancing protocols will be followed.
Wearing masks is mandatory.
There will be no meet & greet
Please read T&C before purchasing a ticket
",January 5 | 9:00 PM,Mumbai,The Habitat,Live Events,,VIshvesh,
"Welcome 2021' Dhvani Bhanushali Concert at PVR Growels 101, Kandivali!",Welcome 2021' with a big bang!Get ready to witness the first concert live with the Big Screen Experience at PVR. Galaxy presents Welcome 2021 Live Concert with India’s Biggest Popstar – Dhvani Bhanushali happening on 10th Jan’2021 at PVR near you. Book your tickets now.,January 10 | 5PM,Mumbai,Galaxy,Live Events,,VIshvesh,
Karsh Kale’s original take on Phil Collins | Paytm Insider presents Jim Beam Originals,"Great news for all music fans. Jim Beam Originals is coming to your home with a series of virtual music concerts this month.Watch some of India’s finest musicians rendition of legendary songs with a specially curated set-list that will be performed live for the first time. Tune-in to experience your next live gig from home.
And there’s more. In the 70 minutes of this experience, you can watch the performance, share some of your favourite stories about the song, and get a chance to go to the ‘virtual backstage’ where you can hang with the artists post the gig.",January 23 | 9PM,Online,Paytm Insider,Live Events,,VIshvesh,
BREEZER Vivid Shuffle League Qualifiers,"BREEZER Vivid Shuffle is back in its 4th year to find the best talent in Breaking, Popping, Rap, Graffiti and Hip-Hop Showcase - cementing its place as India’s biggest hip-hop league.After an overwhelming response to submissions, we've selected the best to advance to the 2-day League Qualifiers - 23rd and 24th January 2021 - where YOU get to watch them battle and perform on stage to earn their spots in the league teams for FREE!
Show your support for the culture and RSVP your tickets to the League Qualifiers stream, they're free!
League Qualifiers stream schedule to be announced soon on social media.
",January 23 - January 24 | 5PM,Online,BREEZER,Live Events,,VIshvesh,
Open Space | Online Improv Jam,"Every Wednesday, Kaivalya Plays hosts an open space to play improv games. These are not mental health exercises or performance workshops, just an open room for fun, simple games. Anyone can host a session (write to us at team@kaivalyaplays.org if you'd like to), try out a new game or simply, just play games with us. These sessions are open to everybody, feel free to invite anyone who'd enjoy this too.These sessions are free of cost, on a registration only basis. But we have also opened up a voluntary donation link for Open Space to keep expanding this initiative and making improv more accessible across the world.Any and all amounts are welcome at https://imjo.in/dmt5AEThe Zoom Link for the event will be sent to you on the day of the event. See you on Wednesday!",January 6 | 7PM - February 3 | 8PM,Online,Kaivalya Plays,Live Events,,VIshvesh,
1-to-1 Resume Review,"Sharang Dhaimade, a certified resume reviewer & a career coach presents an hour long One-to-One Resume Review. After having reviewed close to 10,000 resumes over the last 7 years & being an interviewer at a European Business School, Sharang will hear your ambitions & inhibitions to help you create a fully optimized one-page resume to reach your career goals. We will understand the whole recruitment process, understand how to crack the ATS & ensure that your resume fits perfectly to what the job requirements are.",January 4 - March 31 | 11AM,Online,Sharang Dhaimade,Live Events,,VIshvesh,
SpanishProv,"A free space to practice Spanish with scenes created at the moment through games. Perfect for students who want to apply their knowledge of the language in a fun and pressure-free space.A free space for anyone and everyone to practice their Spanish with improvisational theater where you play simple, fun games to create short scenes. Most suited for students of Spanish who wish to apply their knowlwedge of the language in a fun and pressure-free manner.
",March 19 | 10PM - January 8 | 11PM,Online,Kaivalya Plays,information & technology,,VIshvesh,
Introduction to Meditation,"Meditation is the delicate art of doing nothing and letting go of all the efforts to relax into your true nature which is love, joy and peace.Today we all face stress from professional, personal front. We go through various emotions like COVID fear, sadness, excitement, grief, regret, but we dont know how to overcome them quickly. Yes its possible to stay calm and composed most of the times and avoid the unnecessary stress that we accumulate.! A FEW minutes of meditation in a day can ensure that. Believe me its an investment- a few minutes of investment can let you have the whole day full of energy and joy.
I was introduced to this beautiful way of living by a friend 12 years before and since then there is no looking back and life has only improved! I now share this to people around and many many get benefitted. I wholeheartedly welcome you to this one hour webinar",January 5 | 7PM,Online,Parul Khurrana,Health and Wellness,,vIshvesh,
How To Dress For Success,"Making confidence a part of your life is not quite easy, the right clothing and a pinch of attitude can give the push you require. The more confident you are, the more successful you tend to become. To create a positive first impression, fine details like clothes, grooming, accessories, and many more are important which you will understand through this webinar.Be it a CEO or a software developer, everyone needs to look presentable. If you are looking for a promotion or to seal the deal with a prospective customer all you need is to dress right.
This online webinar will touch upon the basics of personal style, elements of style, and how you can use clothing to communicate effectively in your respective fields of profession.
This webinar will take you one step closer to begin your style journey in confidence.
AGENDA
- Understanding personal styling.
- Elements of Style
- Importance of grooming
- Style Tips",January 10 | 11AM,Online,Pradeep agarwal,information & technology,,vIshvesh,
Hindiprov,"A space for fun, games and all things Hindi. HindiProv is a facilitated series for everyone who wants to embrace the desi in them or just simply try something new. Celebrate and enjoy an afternoon filled with fun and laughter with Improv theatre.The workshop is open to all, irrespective of the language level. The session and the games will be conducted entirely in Hindi. Come join us to play games and have a good time with your desi pals.

",March 28 | 9PM - January 31 | 10PM,Online,Kaivalya Plays,information & technology,,vIshvesh,
A2 Improv Theatre Course (Online),"This is an advanced-level course for improvisers with prior experience. Students will play a variety of exercises and games, many developed by Viola Spolin and Del Close. These exercises and games train the analytical side of the brain to focus on goals, freeing the creative side and silencing the negative thoughts that can make us freeze in performance (or in life, for that matter). Students will also be introduced to the long-form format of the Harold and musical improvisation.",March 13 | 11AM - February 28 | 1PM,Online,Kaivalya Plays,Arts and exhibitions,,vIshvesh,
Online Storytelling Workshops by Vikram Sridhar,"Right from the Panchatantra to the Jataka tales to the innumerous folktales of the land, the story way of teaching, sharing and documenting used the animal world immensely. Though today, we see them mostly in children’s tales, the workshop will explore the philosophy, ethology and connect to the human psychology that these tales inherit.A keen sense of natural observation was inherent in the story makers, and using metaphors from the natural world was a common trait. This can come back into our vocabulary if we open the doors to listening to the nature around us.",January 10 | 11AM - January 31 | 1PM,Online,ArtKhoj,Arts and exhibitions,,vIshvesh,
Suhana Safar - Senior Citizen Support Group,"Suhana Safar is a senior wellness circle that offers elders a platform to exchange views and share experiences on stimulating and interesting topics with like-minded individuals. We also get experts from the wellness space to guide them with mindfulness, stress and anxiety, geriatric consultation and more.",January 15 | 6:30PM - February 19 | 8:00PM,Online,Suhana Safar,Arts and exhibitions,,vIshvesh,
21 Day – Consciousness Detox,"This New Year, gift yourself a 21-day Consciousness Detox, through mirror work, to purify your mind and emotions and build a profound relationship with your own self.
When we take time to detox our physical body of accumulated stress and toxicity, we are rewarded with increased energy and vitality and optimal functioning. Similarly detox of the mind brings in enormous amounts of strength, confidence and deep inner peace within us and others.
This insightful workshop is conducted by Jaishree Kannan, who is an internationally certified ‘Heal your Life Coach’, a Workshop Leader and a Certified Whole Plant Based Nutritionist from E- Cornell.
Date: Monday to Friday and 5th Saturday, from 4th January to 30th January 2021.",January 4 | 11AM - January 30 | 12PM,Online,Sharan,Health and Wellness,,vIshvesh,
The Art of Human Relationships,"How can we establish good relationships with others? What can we learn from nature around us about harmonious living together? Our daily encounters in our homes, workplaces, and social circles shape our daily feelings, thoughts, and moods much more than we are conscious of, or can imagine! Learning how to develop and maintain human relationships is valuable for much more than just our career and our personal life.
Join us for a talk on the art of building and maintaining lasting human connections and the practice of harmonious living.",January 9 | 5:30PM,Online,ArtKhoj,Health and Wellness,,vIshvesh,
Terrace Gardening,"Tips on starting a garden in terrace for city dwellers who lack land for starting a garden on ground
You will learn:
-How to grow organic vegetables and fruits at home
-Conditions necessary to enhance survival of outdoor plants
-Planting indoor plants to improve your indoor air quality",January 17 | 4PM,Online,Ecogg,Live Events,,vIshvesh,
